year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city,brand_rank,car_age,distance below 30k km,new and less used,inv_car_price,inv_car_dist,inv_car_age,inv_brand,std_invprice,std_invdistance_travelled,std_invrank,best_buy1,best_buy2
2018,Toyota,Toyota Fortuner 2.7 4x2 AT [2016-2020],Fortuner,3075000,25000,Petrol,Delhi,1,3,1,1,3.25E-07,4.00E-05,0.333333333,1,0.016142134,0.013562971,1,218.9352956,218.9352956
2018,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,3950000,55000,Diesel,Delhi,4,3,0,0,2.53E-07,1.82E-05,0.333333333,0.25,0.011620491,0.005923223,0.240625,16.56240038,0
2016,Honda,Honda City VX,City,800000,38000,Petrol,Delhi,7,5,0,0,1.25E-06,2.63E-05,0.2,0.142857143,0.074188728,0.008771374,0.132142857,85.99026035,0
2019,Audi,Audi A3 35 TFSI Technology,A3,2550000,15000,Petrol,Delhi,10,2,1,1,3.92E-07,6.67E-05,0.5,0.1,0.020344602,0.022900441,0.08875,41.34865779,41.34865779
2012,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,1650000,65000,Diesel,Delhi,10,9,0,0,6.06E-07,1.54E-05,0.111111111,0.1,0.03377067,0.004943768,0.08875,14.8171983,0
2015,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,465000,58000,Petrol,Noida,32,6,0,0,2.15E-06,1.72E-05,0.166666667,0.03125,0.130712653,0.005593923,0.019140625,13.99555853,0
2019,Toyota,Toyota Innova Crysta 2.8 ZX AT 7 STR [2016-2020],Innova,2325000,38000,Diesel,Delhi,1,2,0,0,4.30E-07,2.63E-05,0.5,1,0.022726647,0.008771374,1,199.3439265,0
2019,Tata,Tata Harrier XZ [2019-2020],Harrier,1625000,12000,Diesel,Delhi,40,2,1,1,6.15E-07,8.33E-05,0.5,0.025,0.034355909,0.02873636,0.0128125,12.64931697,12.64931697
2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 MT,Ciaz,895000,27000,Petrol,Delhi,32,3,1,1,1.12E-06,3.70E-05,0.333333333,0.03125,0.065860722,0.012525474,0.019140625,15.78980542,15.78980542
2017,Mercedes-Benz,Mercedes-Benz CLA 45 AMG 4MATIC [2017-2017],CLA,4300000,17000,Petrol,Dehradun,2,4,1,1,2.33E-07,5.88E-05,0.25,0.5,0.010327091,0.020154126,0.49375,102.7659115,102.7659115
2016,Volvo,Volvo V40 D3 R-Design,V40,1750000,78000,Diesel,Dehradun,9,5,0,0,5.71E-07,1.28E-05,0.2,0.111111111,0.031596926,0.004045934,0.1,12.78390765,0
2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4700000,38200,Diesel,Dehradun,2,3,0,0,2.13E-07,2.62E-05,0.333333333,0.5,0.009084797,0.00872313,0.49375,39.12863727,0
2020,Land Rover,Land Rover Range Rover Evoque S [2020-2021],Evoque,5900000,9000,Diesel,Dehradun,18,1,1,1,1.69E-07,0.000111111,1,0.055555556,0.006368597,0.038462891,0.04375,10.7167662,10.7167662
2018,Mercedes-Benz,Mercedes-Benz GLC 220 d Sport,GLC,4500000,43000,Diesel,Dehradun,2,3,0,0,2.22E-07,2.33E-05,0.333333333,0.5,0.009678338,0.007699908,0.49375,36.79539138,0
2019,Mercedes-Benz,Mercedes-Benz S-Class (W222) S 350D [2018-2020],S-Class,11000000,7111,Diesel,Dehradun,2,2,1,1,9.09E-08,0.000140627,0.5,0.5,0.001436224,0.0487981,0.49375,34.60446776,34.60446776
2015,Mercedes-Benz,Mercedes-Benz GLA 200 Sport,GLA,2050000,18000,Petrol,Dehradun,2,6,1,0,4.88E-07,5.56E-05,0.166666667,0.5,0.026348129,0.019009829,0.49375,247.3062444,0
2018,Mercedes-Benz,Mercedes-Benz GLC 220 d Sport,GLC,4500000,43000,Diesel,Dehradun,2,3,0,0,2.22E-07,2.33E-05,0.333333333,0.5,0.009678338,0.007699908,0.49375,36.79539138,0
2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4700000,38200,Diesel,Dehradun,2,3,0,0,2.13E-07,2.62E-05,0.333333333,0.5,0.009084797,0.00872313,0.49375,39.12863727,0
2014,Mercedes-Benz,Mercedes-Benz A-Class A 180 CDI Style,A-Class,1275000,56000,Diesel,Delhi,2,7,0,0,7.84E-07,1.79E-05,0.142857143,0.5,0.04495906,0.005809536,0.49375,128.9631894,0
2017,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport,CLA,2575000,22500,Diesel,Delhi,2,4,1,1,3.88E-07,4.44E-05,0.25,0.5,0.020105627,0.015119216,0.49375,150.0907758,150.0907758
2010,Mitsubishi,Mitsubishi Outlander 2.4 MIVEC,Outlander,550000,75000,Petrol,Delhi,46,11,0,0,1.82E-06,1.33E-05,0.090909091,0.02173913,0.10985172,0.004225501,0.00951087,4.414741391,0
2018,BMW,BMW 5 Series 520d Luxury Line [2017-2019],5,4200000,24000,Diesel,Delhi,4,3,1,1,2.38E-07,4.17E-05,0.333333333,0.25,0.010674637,0.014146563,0.240625,36.33664261,36.33664261
2014,Audi,Audi Q7 3.0 TDI quattro Premium Plus,Q7,2390000,57000,Diesel,Delhi,10,7,0,0,4.18E-07,1.75E-05,0.142857143,0.1,0.021992432,0.005699838,0.08875,11.12510572,0
2020,Mercedes-Benz,Mercedes-Benz GLC 220 d Progressive,GLC,5700000,9000,Diesel,Delhi,2,1,1,1,1.75E-07,0.000111111,1,0.5,0.006741876,0.038462891,0.49375,128.0353228,128.0353228
2019,Toyota,Toyota Innova Crysta 2.7 ZX AT 7 STR,Innova,2175000,15800,Petrol,Delhi,1,2,1,1,4.60E-07,6.33E-05,0.5,1,0.024588474,0.021718483,1,534.0243587,534.0243587
2019,Honda,Honda City VX (O) MT BL,City,1145000,21963,Petrol,Delhi,7,2,1,1,8.73E-07,4.55E-05,0.5,0.142857143,0.050548369,0.015499721,0.132142857,103.5320284,103.5320284
2013,Hyundai,Hyundai Grand i10 Sportz AT 1.2 Kappa VTVT,Grand,370000,49350,Petrol,Delhi,14,8,0,0,2.70E-06,2.03E-05,0.125,0.071428571,0.165370323,0.006652108,0.059821429,65.80723301,0
2019,Mahindra,Mahindra Scorpio S11 2WD 8 STR,Scorpio,1675000,53500,Diesel,Lucknow,24,2,0,0,5.97E-07,1.87E-05,0.5,0.041666667,0.033202901,0.006101721,0.0296875,6.014534642,0
2018,Jeep,Jeep Compass Limited Plus Petrol AT [2018-2020],Compass,1650000,16000,Petrol,Ghaziabad,19,3,1,1,6.06E-07,6.25E-05,0.333333333,0.052631579,0.03377067,0.021441461,0.040789474,29.53535267,29.53535267
2012,Honda,Honda Brio S MT,Brio,235000,65000,Petrol,Noida,7,9,0,0,4.26E-06,1.54E-05,0.111111111,0.142857143,0.262823192,0.004943768,0.132142857,171.6980774,0
2019,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1640000,24000,Petrol,Delhi,81,2,1,1,6.10E-07,4.17E-05,0.5,0.012345679,0.034002624,0.014146563,0,0,0
2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000,13000,Petrol,Delhi,32,2,1,1,1.57E-06,7.69E-05,0.5,0.03125,0.094575603,0.026491776,0.019140625,47.95637045,47.95637045
2010,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXi,Wagon,125000,71000,Petrol,Delhi,32,11,0,0,8.00E-06,1.41E-05,0.090909091,0.03125,0.497865073,0.004488528,0.019140625,42.77319786,0
2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000,47000,Petrol,Delhi,4,4,0,0,2.13E-07,2.13E-05,0.25,0.25,0.009084797,0.007006875,0.240625,15.31723441,0
2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,910000,34000,Petrol,Delhi,32,3,0,0,1.10E-06,2.94E-05,0.333333333,0.03125,0.064704723,0.009855446,0.019140625,12.2058599,0
2017,Honda,Honda WR-V VX MT Diesel,WR-V,720000,73000,Diesel,Delhi,7,4,0,0,1.39E-06,1.37E-05,0.25,0.142857143,0.082906348,0.004353411,0.132142857,47.69371774,0
2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.3,Baleno,635000,70000,Diesel,Delhi,32,3,0,0,1.57E-06,1.43E-05,0.333333333,0.03125,0.094575603,0.004558982,0.019140625,8.252833745,0
2021,Mahindra,Mahindra Thar LX 4-STR Hard Top Petrol AT,Thar,1850000,4000,Petrol,Delhi,24,0,1,1,5.41E-07,0.00025,inf,0.041666667,0.029658181,0.087095549,0.0296875,76.68564855,76.68564855
2010,Honda,Honda City 1.5 S MT,City,310000,58000,Petrol,Delhi,7,11,0,0,3.23E-06,1.72E-05,0.090909091,0.142857143,0.198203906,0.005593923,0.132142857,146.5117292,0
2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,460000,29000,Petrol,Delhi,32,5,1,0,2.17E-06,3.45E-05,0.2,0.03125,0.132179854,0.011631081,0.019140625,29.4266921,0
2019,Jaguar,Jaguar XE Prestige,XE,3390000,18000,Petrol,Delhi,40,2,1,1,2.95E-07,5.56E-05,0.5,0.025,0.014245445,0.019009829,0.0128125,3.469669387,3.469669387
2018,Mercedes-Benz,Mercedes-Benz E-Class E 350 d Exclusive [2017-2019],E-Class,5175000,14880,Diesel,Delhi,2,3,1,1,1.93E-07,6.72E-05,0.333333333,0.5,0.007859008,0.023088697,0.49375,89.59303824,89.59303824
2019,Maruti Suzuki,Maruti Suzuki Celerio VXi CNG [2019-2020],Celerio,535000,45000,CNG + 1,Delhi,32,2,0,0,1.87E-06,2.22E-05,0.5,0.03125,0.11305139,0.007337991,0.019140625,15.87848944,0
2012,Maruti Suzuki,Maruti Suzuki Swift DZire VXI,Swift,320000,80000,Petrol,Delhi,32,9,0,0,3.13E-06,1.25E-05,0.111111111,0.03125,0.191876601,0.003933705,0.019140625,14.44707403,0
2020,Mercedes-Benz,Mercedes-Benz CLA 200 CDI Sport (CBU),CLA,3000000,4000,Diesel,Delhi,2,1,1,1,3.33E-07,0.00025,1,0.5,0.016652434,0.087095549,0.49375,716.1117246,716.1117246
2009,Maruti Suzuki,Maruti Suzuki Wagon R LXi Minor,Wagon,135000,75000,Petrol,Delhi,32,12,0,0,7.41E-06,1.33E-05,0.083333333,0.03125,0.460669893,0.004225501,0.019140625,37.2583937,0
2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000,13000,Petrol,Delhi,32,2,1,1,1.57E-06,7.69E-05,0.5,0.03125,0.094575603,0.026491776,0.019140625,47.95637045,47.95637045
2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 AT,Ciaz,910000,34000,Petrol,Delhi,32,3,0,0,1.10E-06,2.94E-05,0.333333333,0.03125,0.064704723,0.009855446,0.019140625,12.2058599,0
2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2750000,50000,Diesel,Delhi,8,4,0,0,3.64E-07,2.00E-05,0.25,0.125,0.01855446,0.006559868,0.1140625,13.883096,0
2020,Kia,Kia Seltos GTX Plus AT 1.4 [2019-2020],Seltos,1850000,5800,Petrol,Delhi,20,1,1,1,5.41E-07,0.000172414,1,0.05,0.029658181,0.05992834,0.038125,67.7620615,67.7620615
2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000,47000,Petrol,Delhi,4,4,0,0,2.13E-07,2.13E-05,0.25,0.25,0.009084797,0.007006875,0.240625,15.31723441,0
2016,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7300000,23000,Petrol,Delhi,8,5,1,0,1.37E-07,4.35E-05,0.2,0.125,0.004328346,0.014780902,0.1140625,7.297360265,0
2014,Honda,Honda Brio S MT,Brio,325000,52000,Petrol,Delhi,7,7,0,0,3.08E-06,1.92E-05,0.142857143,0.142857143,0.188858963,0.006290518,0.132142857,156.9884557,0
2017,Honda,Honda WR-V VX MT Diesel,WR-V,720000,73000,Diesel,Delhi,7,4,0,0,1.39E-06,1.37E-05,0.25,0.142857143,0.082906348,0.004353411,0.132142857,47.69371774,0
2018,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.3,Baleno,635000,70000,Diesel,Delhi,32,3,0,0,1.57E-06,1.43E-05,0.333333333,0.03125,0.094575603,0.004558982,0.019140625,8.252833745,0
2014,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT (O) [2013-2017],Grand,395000,23000,Petrol,Delhi,14,7,1,0,2.53E-06,4.35E-05,0.142857143,0.071428571,0.154633603,0.014780902,0.059821429,136.7292994,0
2017,BMW,BMW X1 sDrive20d xLine,X1,2350000,48000,Diesel,Delhi,4,4,0,0,4.26E-07,2.08E-05,0.25,0.25,0.02243945,0.006851664,0.240625,36.99551045,0
2020,Mercedes-Benz,Mercedes-Benz E-Class E 220d Exclusive [2019-2019],E-Class,5600000,8000,Diesel,Delhi,2,1,1,1,1.79E-07,0.000125,1,0.5,0.006938514,0.043326157,0.49375,148.4307063,148.4307063
2020,MG,MG Hector Sharp 1.5 DCT Petrol [2019-2020],Hector,1825000,45000,Petrol,Delhi,81,1,0,0,5.48E-07,2.22E-05,1,0.012345679,0.030122948,0.007337991,0,0,0
2011,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,225000,71000,Petrol + 1,Delhi,14,10,0,0,4.44E-06,1.41E-05,0.1,0.071428571,0.274693994,0.004488528,0.059821429,73.75812871,0
2016,Renault,Renault Duster 110 PS RXZ 4X4 MT Diesel,Duster,545000,50000,Diesel,Delhi,15,5,0,0,1.83E-06,2.00E-05,0.2,0.066666667,0.110898707,0.006559868,0.055,40.01144999,0
2010,Honda,Honda City 1.5 S MT,City,310000,58000,Petrol,Delhi,7,11,0,0,3.23E-06,1.72E-05,0.090909091,0.142857143,0.198203906,0.005593923,0.132142857,146.5117292,0
2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,460000,29000,Petrol,Delhi,32,5,1,0,2.17E-06,3.45E-05,0.2,0.03125,0.132179854,0.011631081,0.019140625,29.4266921,0
2012,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,245000,52000,Petrol,Delhi,14,9,0,0,4.08E-06,1.92E-05,0.111111111,0.071428571,0.251921435,0.006290518,0.059821429,94.79999704,0
2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2950000,31000,Diesel,Delhi,8,4,0,0,3.39E-07,3.23E-05,0.25,0.125,0.017007049,0.010852092,0.1140625,21.05161082,0
2019,Maruti Suzuki,Maruti Suzuki Baleno Delta 1.2,Baleno,635000,13000,Petrol,Delhi,32,2,1,1,1.57E-06,7.69E-05,0.5,0.03125,0.094575603,0.026491776,0.019140625,47.95637045,47.95637045
2017,Ford,Ford Endeavour Titanium 3.2 4x4 AT,Endeavour,2750000,50000,Diesel,Delhi,8,4,0,0,3.64E-07,2.00E-05,0.25,0.125,0.01855446,0.006559868,0.1140625,13.883096,0
2020,Kia,Kia Seltos GTX Plus AT 1.4 [2019-2020],Seltos,1850000,5800,Petrol,Delhi,20,1,1,1,5.41E-07,0.000172414,1,0.05,0.029658181,0.05992834,0.038125,67.7620615,67.7620615
2017,BMW,BMW X5 xDrive35i Pure Experience (5 seater),X5,4700000,47000,Petrol,Delhi,4,4,0,0,2.13E-07,2.13E-05,0.25,0.25,0.009084797,0.007006875,0.240625,15.31723441,0
2016,Ford,Ford Mustang GT Fastback 5.0L v8,Mustang,7300000,23000,Petrol,Delhi,8,5,1,0,1.37E-07,4.35E-05,0.2,0.125,0.004328346,0.014780902,0.1140625,7.297360265,0
2012,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,245000,52000,Petrol,Delhi,14,9,0,0,4.08E-06,1.92E-05,0.111111111,0.071428571,0.251921435,0.006290518,0.059821429,94.79999704,0
2010,Honda,Honda City 1.5 S MT,City,310000,58000,Petrol,Delhi,7,11,0,0,3.23E-06,1.72E-05,0.090909091,0.142857143,0.198203906,0.005593923,0.132142857,146.5117292,0
2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,460000,29000,Petrol,Delhi,32,5,1,0,2.17E-06,3.45E-05,0.2,0.03125,0.132179854,0.011631081,0.019140625,29.4266921,0
2015,Hyundai,Hyundai Elite i20 Asta 1.4 (O) CRDi,Elite,550000,55000,Diesel,Delhi,14,6,0,0,1.82E-06,1.82E-05,0.166666667,0.071428571,0.10985172,0.005923223,0.059821429,38.92437912,0
2018,Audi,Audi Q3 35 TDI quattro Premium Plus,Q3,2750000,37000,Diesel,Ghaziabad,10,3,0,0,3.64E-07,2.70E-05,0.333333333,0.1,0.01855446,0.009020418,0.08875,14.85399725,0
2014,Chevrolet,Chevrolet Beat LS Diesel,Beat,195000,39000,Diesel,Delhi,12,7,0,0,5.13E-06,2.56E-05,0.142857143,0.083333333,0.317611509,0.008535102,0.071875,194.8421097,0
2015,Honda,Honda Amaze 1.2 S i-VTEC,Amaze,390000,61000,Petrol,Ghaziabad,7,6,0,0,2.56E-06,1.64E-05,0.166666667,0.142857143,0.156670827,0.005297014,0.132142857,109.6637081,0
2014,Volkswagen,Volkswagen Polo GT TDI,Polo,385000,85000,Diesel,Delhi,3,7,0,0,2.60E-06,1.18E-05,0.142857143,0.333333333,0.158760966,0.003676238,0.325,189.6839955,0
2019,Skoda,Skoda Octavia 2.0 TDI L&K,Octavia,1999000,51000,Diesel,Delhi,27,2,0,0,5.00E-07,1.96E-05,0.5,0.037037037,0.027129278,0.006422553,0.025,4.355980298,0
2015,Mercedes-Benz,Mercedes-Benz M-Class ML 350 CDI,M-Class,2900000,47000,Diesel,Delhi,2,6,0,0,3.45E-07,2.13E-05,0.166666667,0.5,0.017373892,0.007006875,0.49375,60.1074893,0
2015,Volkswagen,Volkswagen Polo GT TSI,Polo,550000,67000,Petrol,Delhi,3,6,0,0,1.82E-06,1.49E-05,0.166666667,0.333333333,0.10985172,0.004782962,0.325,170.7603829,0
2018,Mahindra,Mahindra XUV500 W5 [2018-2020],XUV500,1075000,23000,Diesel,Delhi,24,3,1,1,9.30E-07,4.35E-05,0.333333333,0.041666667,0.054117927,0.014780902,0.0296875,23.74738075,23.74738075
2016,Honda,Honda Amaze 1.2 S i-VTEC Opt,Amaze,435000,52000,Petrol,Delhi,7,5,0,0,2.30E-06,1.92E-05,0.2,0.142857143,0.140021791,0.006290518,0.132142857,116.3927003,0
2012,Honda,Honda City 1.5 V MT,City,425000,80000,Petrol,Delhi,7,9,0,0,2.35E-06,1.25E-05,0.111111111,0.142857143,0.143416889,0.003933705,0.132142857,74.54967513,0
2010,Maruti Suzuki,Maruti Suzuki SX4 VXi,SX4,225000,72000,Petrol,Ghaziabad,32,11,0,0,4.44E-06,1.39E-05,0.090909091,0.03125,0.274693994,0.004420031,0.019140625,23.23970606,0
2013,Mercedes-Benz,Mercedes-Benz GL 350 CDI,GL,2650000,68000,Diesel,Faridabad,2,8,0,0,3.77E-07,1.47E-05,0.125,0.5,0.019415755,0.004706106,0.49375,45.11522009,0
2019,Mahindra,Mahindra XUV300 1.5 W8 (O) [2019-2020],XUV300,925000,25000,Diesel,Delhi,24,2,1,1,1.08E-06,4.00E-05,0.5,0.041666667,0.063586216,0.013562971,0.0296875,25.60303454,25.60303454
2015,Renault,Renault Lodgy 110 PS RXZ [2015-2016],Lodgy,650000,65349,Diesel,Bangalore,15,6,0,0,1.54E-06,1.53E-05,0.166666667,0.066666667,0.092294554,0.004914998,0.055,24.94951575,0
2018,Hyundai,Hyundai Creta SX 1.6 CRDi (O),Creta,1395000,55627,Diesel,Bangalore,14,3,0,0,7.17E-07,1.80E-05,0.333333333,0.071428571,0.040724314,0.005851463,0.059821429,14.25525622,0
2007,Honda,Honda City ZX VTEC,City,325000,76890,Petrol,Bangalore,7,14,0,0,3.08E-06,1.30E-05,0.071428571,0.142857143,0.188858963,0.004110741,0.132142857,102.5891342,0
2010,Skoda,Skoda Superb Elegance TSI AT,Superb,675000,61000,Petrol,Bangalore,27,11,0,0,1.48E-06,1.64E-05,0.090909091,0.037037037,0.088718095,0.005297014,0.025,11.74852412,0
2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,735000,33905,Petrol,Bangalore,32,4,0,0,1.36E-06,2.95E-05,0.25,0.03125,0.081127242,0.009884302,0.019140625,15.34860279,0
2019,BMW,BMW X5 xDrive30d xLine,X5,6600000,26000,Diesel,Bangalore,4,2,1,1,1.52E-07,3.85E-05,0.5,0.25,0.005240276,0.013024271,0.240625,16.42284351,16.42284351
2014,Mahindra,Mahindra XUV500 W8 [2015-2017],XUV500,915000,52255,Diesel,Bangalore,24,7,0,0,1.09E-06,1.91E-05,0.142857143,0.041666667,0.064327813,0.006257658,0.0296875,11.95044947,0
2010,Hyundai,Hyundai i10 Sportz 1.2,i10,280000,72799,Petrol,Bangalore,14,11,0,0,3.57E-06,1.37E-05,0.090909091,0.071428571,0.219897523,0.004366655,0.059821429,57.44152954,0
2017,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],Grand,585000,27805,Petrol,Bangalore,14,4,1,1,1.71E-06,3.60E-05,0.25,0.071428571,0.103023933,0.012150009,0.059821429,74.88097773,74.88097773
2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,735000,33984,Petrol,Bangalore,32,4,0,0,1.36E-06,2.94E-05,0.25,0.03125,0.081127242,0.009860295,0.019140625,15.31132311,0
2017,Hyundai,Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],Grand,599000,35876,Petrol,Bangalore,14,4,0,0,1.67E-06,2.79E-05,0.25,0.071428571,0.100516232,0.009316915,0.059821429,56.02284132,0
2018,Hyundai,Hyundai Creta SX 1.6 AT Petrol,Creta,1450000,26966,Petrol,Bangalore,14,3,1,1,6.90E-07,3.71E-05,0.333333333,0.071428571,0.039017639,0.012541826,0.059821429,29.27376148,29.27376148
2016,Maruti Suzuki,Maruti Suzuki Swift Dzire VXI AT ABS,Swift,695000,47057,Petrol,Bangalore,32,5,0,0,1.44E-06,2.13E-05,0.2,0.03125,0.086042182,0.006997851,0.019140625,11.52476812,0
2018,Mahindra,Mahindra XUV500 W7 [2018-2020],XUV500,1425000,53636,Diesel,Bangalore,24,3,0,0,7.02E-07,1.86E-05,0.333333333,0.041666667,0.039777069,0.006085126,0.0296875,7.185814013,0
2013,Honda,Honda CR-V 2.4L 4WD AVN,CR-V,1399000,94055,Petrol,Bangalore,7,8,0,0,7.15E-07,1.06E-05,0.125,0.142857143,0.040595668,0.003279642,0.132142857,17.59340162,0
2019,Maruti Suzuki,Maruti Suzuki Swift VXi AMT,Swift,745000,18680,Petrol,Bangalore,32,2,1,1,1.34E-06,5.35E-05,0.5,0.03125,0.079980972,0.018301687,0.019140625,28.01779268,28.01779268
2018,Mahindra,Mahindra XUV500 W7 [2018-2020],XUV500,1425000,53636,Diesel,Bangalore,24,3,0,0,7.02E-07,1.86E-05,0.333333333,0.041666667,0.039777069,0.006085126,0.0296875,7.185814013,0
2018,Maruti Suzuki,Maruti Suzuki Swift VXi AMT [2018-2019],Swift,680000,39792,Petrol,Bangalore,32,3,0,0,1.47E-06,2.51E-05,0.333333333,0.03125,0.08803436,0.008356402,0.019140625,14.08081046,0
2017,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,1145000,61307,Petrol,Bangalore,14,4,0,0,8.73E-07,1.63E-05,0.25,0.071428571,0.050548369,0.005268269,0.059821429,15.93059005,0
2018,Mahindra,Mahindra XUV500 W11 AT,XUV500,1795000,53769,Diesel,Bangalore,24,3,0,0,5.57E-07,1.86E-05,0.333333333,0.041666667,0.030697759,0.006068978,0.0296875,5.530900395,0
2016,Maruti Suzuki,Maruti Suzuki Swift VXi [2014-2017],Swift,595000,51016,Petrol,Bangalore,32,5,0,0,1.68E-06,1.96E-05,0.2,0.03125,0.101220676,0.006420399,0.019140625,12.43905491,0
2018,Maruti Suzuki,Maruti Suzuki Vitara Brezza VDi,Vitara,935000,30356,Diesel,Bangalore,32,3,0,0,1.07E-06,3.29E-05,0.333333333,0.03125,0.062860483,0.011091722,0.019140625,13.34543706,0
2015,Skoda,Skoda Rapid 1.5 TDI CR Elegance AT,Rapid,745000,60997,Diesel,Bangalore,27,6,0,0,1.34E-06,1.64E-05,0.166666667,0.037037037,0.079980972,0.005297296,0.025,10.59207215,0
2013,Honda,Honda CR-V 2.4L 4WD AVN,CR-V,1399000,94030,Petrol,Bangalore,7,8,0,0,7.15E-07,1.06E-05,0.125,0.142857143,0.040595668,0.003280632,0.132142857,17.59871139,0
2017,Hyundai,Hyundai Creta SX 1.6 CRDI (O),Creta,1299000,60559,Diesel,Bangalore,14,4,0,0,7.70E-07,1.65E-05,0.25,0.071428571,0.044049518,0.005338815,0.059821429,14.06833901,0
2017,Hyundai,Hyundai Creta SX 1.6 CRDI,Creta,1185000,68796,Diesel,Bangalore,14,4,0,0,8.44E-07,1.45E-05,0.25,0.071428571,0.048697965,0.004646526,0.059821429,13.53617413,0
2017,Volkswagen,Volkswagen Vento Highline Plus 1.5 (D) 16 Alloy,Vento,945000,42876,Diesel,Bangalore,3,4,0,0,1.06E-06,2.33E-05,0.25,0.333333333,0.062150109,0.007723459,0.325,156.0044858,0
2019,Mahindra,Mahindra XUV500 W11(O) [2018-2020],XUV500,1785000,28713,Diesel,Bangalore,24,2,1,1,5.60E-07,3.48E-05,0.5,0.041666667,0.030893655,0.011751769,0.0296875,10.7781984,10.7781984
2017,Hyundai,Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,Grand,599000,35855,Petrol,Bangalore,14,4,0,0,1.67E-06,2.79E-05,0.25,0.071428571,0.100516232,0.009322632,0.059821429,56.05721444,0
2018,Hyundai,Hyundai Creta SX 1.6 (O) Petrol,Creta,1345000,36986,Petrol,Bangalore,14,3,0,0,7.43E-07,2.70E-05,0.333333333,0.071428571,0.04239696,0.009024,0.059821429,22.88709052,0
2018,Hyundai,Hyundai Creta SX Plus 1.6 Petrol,Creta,1295000,26605,Petrol,Bangalore,14,3,1,1,7.72E-07,3.76E-05,0.333333333,0.071428571,0.044198768,0.012718019,0.059821429,33.62686588,33.62686588
2018,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1345000,50192,Petrol,Bangalore,14,3,0,0,7.43E-07,1.99E-05,0.333333333,0.071428571,0.04239696,0.006533079,0.059821429,16.56950078,0
2013,Toyota,Toyota Corolla Altis JS Petrol,Corolla,725000,44862,Petrol,Bangalore,1,8,0,0,1.38E-06,2.23E-05,0.125,1,0.082305133,0.007361927,1,605.9243486,0
2017,Hyundai,Hyundai Creta 1.6 SX Plus AT Petrol,Creta,1165000,74848,Petrol,Bangalore,14,4,0,0,8.58E-07,1.34E-05,0.25,0.071428571,0.049607283,0.004234982,0.059821429,12.56764157,0
2018,Maruti Suzuki,Maruti Suzuki Ciaz Alpha 1.4 MT,Ciaz,949000,15133,Petrol,Bangalore,32,3,1,1,1.05E-06,6.61E-05,0.333333333,0.03125,0.061870151,0.02269528,0.019140625,26.87650742,26.87650742
2018,Honda,Honda City V,City,925000,40542,Petrol,Bangalore,7,3,0,0,1.08E-06,2.47E-05,0.333333333,0.142857143,0.063586216,0.008193615,0.132142857,68.84655474,0
2017,Maruti Suzuki,Maruti Suzuki Baleno Alpha 1.2,Baleno,735000,33905,Petrol,Bangalore,32,4,0,0,1.36E-06,2.95E-05,0.25,0.03125,0.081127242,0.009884302,0.019140625,15.34860279,0
